"""m2.price"",""construction.year"",""surface"",""floor"",""no.rooms"",""district"""
"5897,1953,25,3,1,""Srodmiescie"""
"1818,1992,143,9,5,""Bielany"""
"3643,1937,56,1,2,""Praga"""
"3517,1995,93,7,3,""Ochota"""
"3013,1992,144,6,5,""Mokotow"""
"5795,1926,61,6,2,""Srodmiescie"""
"2983,1970,127,8,5,""Mokotow"""
"2346,1985,105,8,4,""Ursus"""
"4745,1928,145,6,6,""Srodmiescie"""
"4284,1949,112,9,4,""Srodmiescie"""
"3961,1940,74,5,2,""Zoliborz"""
"2797,1971,75,7,3,""Bielany"""
"5116,1934,53,1,3,""Zoliborz"""
"3337,1985,111,6,5,""Zoliborz"""
"3666,1948,58,9,3,""Ochota"""
"2841,1975,116,2,4,""Wola"""
"3172,1986,53,6,2,""Wola"""
"3378,1983,37,6,1,""Bemowo"""
"3274,1992,33,7,2,""Ursus"""
"5267,1935,33,2,2,""Mokotow"""
"5112,1929,39,3,2,""Ochota"""
"2996,1980,95,3,3,""Ursynow"""
"5170,1995,148,2,5,""Srodmiescie"""
"3326,1972,42,6,1,""Ursynow"""
"4482,1963,27,5,1,""Ochota"""
"3480,1990,142,1,6,""Ochota"""
"3842,1933,81,2,3,""Bemowo"""
"3134,1994,112,8,5,""Mokotow"""
"2225,1956,97,10,4,""Wola"""
"3372,2002,88,6,3,""Ursus"""
"3868,1987,33,10,2,""Ochota"""
"3085,1945,41,8,2,""Bielany"""
"2928,1931,112,7,5,""Bielany"""
"2819,1969,78,6,4,""Bielany"""
"2201,1977,145,5,5,""Ursus"""
"2720,1957,123,2,5,""Praga"""
"2957,1985,109,1,5,""Ursus"""
"3502,1996,70,7,2,""Bielany"""
"3342,1931,141,9,5,""Zoliborz"""
"2848,1954,145,7,6,""Zoliborz"""
"3158,1987,84,2,4,""Bemowo"""
"3273,1977,48,5,3,""Bemowo"""
"2628,1974,107,5,4,""Praga"""
"4297,1997,65,8,3,""Mokotow"""
"3625,1996,43,9,1,""Bielany"""
"3769,1944,143,10,6,""Srodmiescie"""
"3748,1938,75,6,4,""Zoliborz"""
"6387,1923,51,1,2,""Srodmiescie"""
"3330,1945,82,10,3,""Mokotow"""
"2929,1926,107,8,4,""Ursynow"""
"4463,2001,49,8,3,""Zoliborz"""
"3297,1994,115,6,5,""Zoliborz"""
"3337,2005,86,6,4,""Wola"""
"4046,1927,115,5,4,""Zoliborz"""
"2746,1953,90,6,3,""Bemowo"""
"3845,1956,26,2,2,""Praga"""
"2889,1935,111,2,4,""Bemowo"""
"3137,1930,96,7,4,""Bemowo"""
"3030,1964,102,2,3,""Ursus"""
"4477,1927,32,1,2,""Bielany"""
"3567,1948,28,5,1,""Ursynow"""
"2445,1938,101,8,3,""Wola"""
"2732,1935,82,7,3,""Praga"""
"3547,1995,60,7,3,""Bemowo"""
"3765,1990,108,2,5,""Ochota"""
"2782,1985,147,8,5,""Mokotow"""
"3155,1971,139,5,5,""Mokotow"""
"3739,2007,36,8,2,""Ursynow"""
"5344,2004,31,2,1,""Zoliborz"""
"2113,1992,129,8,4,""Ursynow"""
"3797,1929,145,4,5,""Zoliborz"""
"2834,1992,62,8,3,""Ursynow"""
"3632,1994,57,1,2,""Ursus"""
"3227,1973,142,4,5,""Zoliborz"""
"4091,2007,121,4,4,""Zoliborz"""
"2379,1964,137,4,5,""Praga"""
"2583,1989,102,6,4,""Ursynow"""
"3407,1974,64,2,3,""Ursynow"""
"3113,1967,144,5,5,""Mokotow"""
"3520,1993,43,4,1,""Bielany"""
"2917,1952,63,7,3,""Bemowo"""
"3045,1965,60,6,3,""Bielany"""
"2965,1968,144,6,6,""Mokotow"""
"3992,1961,41,8,2,""Ochota"""
"3138,1957,46,7,2,""Ursynow"""
"4315,1953,44,5,1,""Ochota"""
"5054,1927,100,9,3,""Srodmiescie"""
"2708,1971,124,2,5,""Bielany"""
"2982,1972,127,8,5,""Zoliborz"""
"3341,1968,121,5,5,""Mokotow"""
"3065,1998,98,8,3,""Ursus"""
"2633,1960,137,10,6,""Mokotow"""
"4348,1987,20,7,1,""Mokotow"""
"4167,1938,53,5,2,""Zoliborz"""
"3775,1971,43,1,2,""Bemowo"""
"2772,1983,58,9,3,""Wola"""
"2710,1943,69,9,2,""Ursynow"""
"4196,1986,75,2,3,""Zoliborz"""
"4047,1989,45,7,2,""Zoliborz"""
"3577,1998,147,6,5,""Zoliborz"""
"2019,1944,113,10,5,""Wola"""
"2892,1924,131,6,4,""Bielany"""
"4191,1925,26,5,1,""Wola"""
"2899,1938,110,2,4,""Bielany"""
"2514,1951,89,8,4,""Ursus"""
"1733,1946,137,10,6,""Ursynow"""
"3061,1943,84,3,4,""Praga"""
"4290,1937,26,7,1,""Mokotow"""
"3526,1934,142,7,5,""Mokotow"""
"3015,1971,43,9,1,""Wola"""
"3516,2004,58,8,2,""Ursynow"""
"3661,1936,64,9,2,""Ochota"""
"2803,1996,140,5,6,""Ursynow"""
"4952,1960,105,3,4,""Srodmiescie"""
"5092,1969,46,8,3,""Srodmiescie"""
"3498,1921,110,2,4,""Bemowo"""
"3854,1930,90,1,3,""Wola"""
"2626,1975,112,4,5,""Ursus"""
"2920,1989,53,8,3,""Ursus"""
"3067,1958,53,7,2,""Praga"""
"2533,1959,82,9,3,""Ursus"""
"2344,1951,101,9,3,""Bielany"""
"3289,1922,91,6,4,""Bielany"""
"2957,1940,94,3,4,""Praga"""
"3845,1935,21,3,1,""Bielany"""
"2890,1998,141,4,6,""Ursus"""
"3459,1991,44,4,2,""Bemowo"""
"2813,1922,124,7,5,""Ursus"""
"3566,1931,73,6,2,""Ursynow"""
"4578,1932,27,1,1,""Bemowo"""
"2905,1945,110,2,4,""Bielany"""
"4333,2002,47,10,2,""Ochota"""
"3633,1986,22,5,1,""Praga"""
"4268,2007,93,5,4,""Mokotow"""
"5521,1965,38,5,2,""Srodmiescie"""
"3433,1950,52,3,3,""Bielany"""
"2384,1956,127,5,5,""Bielany"""
"3687,1997,76,4,3,""Ursus"""
"3143,1946,61,5,3,""Bielany"""
"3257,1974,24,8,2,""Bemowo"""
"3574,1992,133,2,4,""Ochota"""
"2652,1991,125,3,4,""Bielany"""
"3194,2004,66,10,3,""Bemowo"""
"1966,1953,123,10,4,""Ursynow"""
"2864,1948,149,7,5,""Zoliborz"""
"3580,1960,52,2,2,""Bemowo"""
"1882,1954,142,8,6,""Wola"""
"2383,1974,107,7,5,""Bielany"""
"3800,2009,65,4,3,""Wola"""
"3364,1935,54,4,2,""Wola"""
"4582,1999,52,7,2,""Ochota"""
"2537,1927,121,10,5,""Ursynow"""
"4037,1931,141,2,5,""Mokotow"""
"5615,1933,48,9,2,""Srodmiescie"""
"3990,1983,36,9,1,""Zoliborz"""
"3150,1984,85,2,4,""Ursus"""
"2563,1982,79,9,3,""Ursus"""
"4916,1985,128,1,4,""Srodmiescie"""
"3279,2006,57,10,3,""Wola"""
"3434,2001,122,10,5,""Ochota"""
"3144,1933,76,9,4,""Bemowo"""
"3280,1990,37,7,1,""Bemowo"""
"3211,1957,104,9,3,""Mokotow"""
"3371,1958,118,5,5,""Zoliborz"""
"3393,2001,61,9,2,""Wola"""
"2569,1935,118,4,5,""Bemowo"""
"3479,1967,47,3,3,""Bielany"""
"2394,1936,126,5,5,""Praga"""
"3127,1946,102,1,3,""Wola"""
"2008,1993,129,9,4,""Ursus"""
"4027,1924,62,2,3,""Bielany"""
"3669,1938,68,8,3,""Ochota"""
"3136,1978,81,3,3,""Wola"""
"2108,1940,114,9,5,""Ursynow"""
"3577,2008,57,7,3,""Bielany"""
"5015,2006,64,1,3,""Mokotow"""
"3977,1947,57,6,3,""Ochota"""
"3357,1984,39,6,1,""Wola"""
"3819,1997,113,7,5,""Mokotow"""
"2784,1963,77,7,3,""Ursynow"""
"2945,1925,86,10,4,""Ursus"""
"4695,1934,21,9,2,""Ochota"""
"2995,1952,120,9,4,""Mokotow"""
"3156,1965,104,9,4,""Ochota"""
"2974,1935,148,3,5,""Bielany"""
"2478,1990,107,6,5,""Bemowo"""
"3680,1954,37,3,1,""Bemowo"""
"3652,1949,90,6,3,""Ochota"""
"2881,1991,42,10,2,""Bielany"""
"3181,1965,132,6,4,""Zoliborz"""
"3587,1951,71,9,2,""Zoliborz"""
"3445,1962,46,4,2,""Bielany"""
"3576,1947,32,4,2,""Ursus"""
"3781,1985,142,10,6,""Srodmiescie"""
"4524,2003,58,7,2,""Ochota"""
"3506,1956,94,7,3,""Ochota"""
"1970,1969,138,8,5,""Wola"""
"2273,1968,133,6,4,""Praga"""
"3989,1937,41,8,2,""Mokotow"""
"3009,1977,119,9,4,""Ochota"""
"3043,1988,106,1,4,""Praga"""
"3020,1939,133,7,5,""Ochota"""
"3219,1923,83,8,3,""Bemowo"""
"2721,2003,148,5,6,""Bielany"""
"3184,1952,57,5,3,""Praga"""
"2095,1977,131,8,4,""Ursus"""
"3266,1988,118,6,5,""Ochota"""
"5079,1958,72,6,2,""Srodmiescie"""
"3587,1929,31,10,2,""Bemowo"""
"4726,1989,37,1,2,""Ochota"""
"4121,1926,53,2,3,""Ursynow"""
"5855,1924,55,6,2,""Srodmiescie"""
"3437,1961,66,2,2,""Wola"""
"3043,1987,66,6,2,""Ursus"""
"3836,1956,31,2,1,""Ursus"""
"2118,1946,148,5,6,""Ursus"""
"4451,1929,35,10,2,""Mokotow"""
"4621,1949,23,4,1,""Zoliborz"""
"3795,2004,40,7,2,""Praga"""
"4033,1921,107,6,4,""Mokotow"""
"3069,1933,93,8,4,""Bemowo"""
"4650,1979,40,2,1,""Mokotow"""
"3070,1994,113,9,4,""Ochota"""
"3583,2004,47,8,3,""Bemowo"""
"3640,1991,121,2,5,""Ochota"""
"4136,1997,106,5,4,""Mokotow"""
"2197,1994,105,9,5,""Ursynow"""
"2590,1993,66,10,3,""Ursus"""
"4407,1932,114,1,5,""Mokotow"""
"2676,1971,77,8,3,""Bemowo"""
