"","gender","age","class","embarked","fare","sibsp","parch","survived"
"1","male",42,"3rd","Southampton",7.11,0,0,0
"2","male",13,"3rd","Southampton",20.05,0,2,0
"3","male",16,"3rd","Southampton",20.05,1,1,0
"4","female",39,"3rd","Southampton",20.05,1,1,1
"5","female",16,"3rd","Southampton",7.13,0,0,1
"6","male",25,"3rd","Southampton",7.13,0,0,1
"7","male",30,"2nd","Cherbourg",24,1,0,0
"8","female",28,"2nd","Cherbourg",24,1,0,1
"9","male",27,"3rd","Cherbourg",18.1509,0,0,1
"10","male",20,"3rd","Southampton",7.1806,0,0,1
"11","male",30,"3rd","Southampton",7.05,0,0,0
"12","male",27,"3rd","Southampton",8.01,0,0,0
"13","female",40,"3rd","Southampton",9.0906,1,0,0
"14","male",0.8333333333,"3rd","Southampton",9.07,0,1,1
"15","female",18,"3rd","Southampton",9.07,0,1,1
"16","male",35,"2nd","Southampton",13,0,0,0
"17","male",25,"3rd","Southampton",7.1709,0,0,0
"18","male",19,"3rd","Southampton",7.1806,0,0,0
"19","male",24,"3rd","Southampton",7.01,0,0,0
"20","male",25,"3rd","Southampton",7.01,0,0,0
"21","female",29,"1st","Southampton",211.6009,0,0,1
"22","male",39,"3rd","Southampton",8.01,0,0,0
"23","male",0.9166666667,"1st","Southampton",151.16,1,2,1
"24","female",2,"1st","Southampton",151.16,1,2,0
"25","male",30,"1st","Southampton",151.16,1,2,0
"26","female",25,"1st","Southampton",151.16,1,2,0
"27","male",18,"3rd","Southampton",8.06,0,0,0
"28","male",19,"3rd","Cherbourg",7.0407,0,0,0
"29","female",19,"3rd","Southampton",7.1701,1,0,1
"30","male",33,"3rd","Southampton",22.1006,0,0,0
"31","male",47,"1st","Southampton",26.11,0,0,1
"32","male",4,"3rd","Southampton",31.0506,4,2,0
"33","female",6,"3rd","Southampton",31.0506,4,2,0
"34","female",2,"3rd","Southampton",31.0506,4,2,0
"35","female",16,"3rd","Southampton",7.1806,4,2,1
"36","female",38,"3rd","Southampton",7.1506,4,2,0
"37","female",9,"3rd","Southampton",31.0506,4,2,0
"38","female",11,"3rd","Southampton",31.0506,4,2,0
"39","male",39,"3rd","Southampton",31.0506,1,5,0
"40","male",26,"3rd","Southampton",7.1506,0,0,0
"41","female",39,"3rd","Southampton",31.0506,1,5,0
"42","male",20,"3rd","Southampton",7.1701,0,0,0
"43","male",17,"2nd","Southampton",11.1,0,0,0
"44","male",27,"2nd","Southampton",10.1,0,0,0
"45","female",62,"1st","Cherbourg",77.1902,1,0,1
"46","male",39,"1st","Belfast",89,0,0,0
"47","male",26,"3rd","Southampton",7.1711,0,0,0
"48","female",36,"2nd","Southampton",26,1,0,1
"49","male",31,"2nd","Southampton",26,1,0,0
"50","female",53,"1st","Southampton",51.0907,2,0,1
"51","male",25,"3rd","Southampton",17.16,1,0,0
"52","female",18,"3rd","Southampton",17.16,1,0,0
"53","male",25,"3rd","Southampton",7.1506,0,0,0
"54","male",71,"1st","Cherbourg",49.1001,0,0,0
"55","male",57,"2nd","Southampton",13,0,0,0
"56","male",35,"3rd","Southampton",7.01,0,0,0
"57","male",5,"3rd","Southampton",31.0709,4,2,0
"58","male",9,"3rd","Southampton",31.0709,4,2,0
"59","male",3,"3rd","Southampton",31.0709,4,2,1
"60","male",13,"3rd","Southampton",31.0709,4,2,0
"61","female",5,"3rd","Southampton",31.0709,4,2,1
"62","male",40,"3rd","Southampton",31.0709,1,5,0
"63","male",13,"3rd","Southampton",7.1511,0,0,1
"64","female",38,"3rd","Southampton",31.0709,1,5,1
"65","female",45,"3rd","Cherbourg",7.0406,0,0,1
"66","male",23,"3rd","Southampton",7.01,0,0,0
"67","male",47,"1st","Cherbourg",247.1006,1,0,0
"68","female",18,"1st","Cherbourg",247.1006,1,0,1
"69","female",17,"3rd","Cherbourg",14.0902,0,0,0
"70","male",27,"3rd","Cherbourg",7.0406,0,0,0
"71","female",24,"1st","Cherbourg",69.06,0,0,1
"72","male",23,"3rd","Southampton",7.1701,0,0,0
"73","female",15,"3rd","Cherbourg",7.0407,0,0,1
"74","male",32,"3rd","Southampton",15.17,1,0,0
"75","female",33,"3rd","Southampton",15.17,3,0,1
"76","female",3,"3rd","Cherbourg",19.0502,2,1,1
"77","female",0.75,"3rd","Cherbourg",19.0502,2,1,1
"78","female",5,"3rd","Cherbourg",19.0502,2,1,1
"79","female",23,"3rd","Cherbourg",19.0502,0,3,1
"80","female",18,"3rd","Southampton",8.01,0,0,1
"81","male",40,"3rd","Cherbourg",7.0406,0,0,0
"82","male",18,"2nd","Southampton",11.1,0,0,0
"83","male",22,"2nd","Southampton",10.1,0,0,0
"84","male",26,"3rd","Southampton",7.1711,0,0,0
"85","female",36,"2nd","Southampton",13,0,0,1
"86","male",28,"2nd","Southampton",10.1,0,0,0
"87","female",31,"3rd","Southampton",8.1308,0,0,1
"88","female",18,"3rd","Cherbourg",14.0901,0,1,0
"89","female",45,"3rd","Cherbourg",14.0901,0,1,0
"90","female",27,"1st","Southampton",78.17,0,0,1
"91","male",47,"1st","Southampton",30,0,0,1
"92","female",33,"3rd","Queenstown",7.1707,0,0,0
"93","male",22,"3rd","Southampton",8.01,0,0,0
"94","female",32,"1st","Cherbourg",76.051,0,0,1
"95","male",52,"2nd","Southampton",12.1006,0,0,0
"96","male",23,"3rd","Southampton",7.1711,0,0,0
"97","male",60,"1st","Cherbourg",25.1806,0,0,0
"98","male",24,"1st","Cherbourg",247.1005,0,1,0
"99","female",50,"1st","Cherbourg",247.1005,0,1,1
"100","male",32,"2nd","Southampton",26,1,0,1
"101","female",22,"2nd","Southampton",26,1,0,1
"102","male",36,"1st","Southampton",75.041,0,0,0
"103","male",44,"2nd","Southampton",26,0,0,0
"104","male",20,"3rd","Southampton",8.01,0,0,0
"105","male",1,"2nd","Southampton",39,2,1,1
"106","female",4,"2nd","Southampton",39,2,1,1
"107","female",12,"2nd","Southampton",39,2,1,1
"108","female",35,"2nd","Southampton",39,0,3,1
"109","male",37,"1st","Southampton",52.1101,1,1,1
"110","female",46,"1st","Southampton",52.1101,1,1,1
"111","male",34,"2nd","Southampton",13,0,0,1
"112","male",26,"1st","Cherbourg",30,0,0,1
"113","male",26,"3rd","Southampton",7.1506,0,0,0
"114","female",19,"2nd","Southampton",13,0,0,1
"115","male",22,"3rd","Southampton",9.07,0,0,0
"116","male",23,"2nd","Southampton",13,0,0,0
"117","female",39,"1st","Cherbourg",63.0702,0,0,1
"118","female",46,"1st","Cherbourg",247.1006,0,0,1
"119","male",32,"3rd","Southampton",56.0911,0,0,1
"120","female",31,"1st","Southampton",221.1507,0,0,1
"121","male",21,"3rd","Southampton",7.1506,0,0,0
"122","male",24,"1st","Cherbourg",26,0,0,0
"123","male",25,"1st","Cherbourg",91.0107,1,0,1
"124","female",19,"1st","Cherbourg",91.0107,1,0,1
"125","male",18,"3rd","Southampton",7.15,0,0,0
"126","male",28,"1st","Southampton",26.11,0,0,1
"127","male",45,"1st","Southampton",35.1,0,0,0
"128","male",39,"1st","Cherbourg",31,0,0,1
